Image_Path,Classes
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1140.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'motorcycle', 'tie']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.1078.jpg,"['boat', 'boat', 'boat', 'boat', 'boat', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3204.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'person', 'person', 'person', 'boat', 'bird', 'person', 'boat']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3082.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'person', 'person', 'tie', 'person', 'tie', 'tie', 'person', 'person', 'tie', 'person', 'person', 'person', 'tie', 'person']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.850-IMAGE.1.jpg,"['person', 'person', 'boat', 'boat', 'bird']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3104.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'backpack', 'backpack', 'handbag']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.937-IMAGE.1.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'boat', 'person', 'person', 'handbag', 'person', 'boat', 'person', 'person', 'person', 'person', 'person']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.4048.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'person', 'person']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/vase.741-IMAGE.1.jpg,"['dining table', 'umbrella']"
/home/suzana/Dokumente/uni/0_MA/MA/data/datasets/keywords/500/500/siba.3127.jpg,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'tie', 'tie', 'person', 'person', 'person', 'baseball bat', 'car']"
