"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1" 
"o:baci.1001"," "," Croatian actor and film director Vjekoslav Afrić (1906–1980) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1945 "," 1960 "," 546; 540; 545 ","  "," 1 "," baci.1001-IMAGE.1.jpg " 
"o:baci.1002"," "," Serbian acrobat and film director Dragoljub Aleksić (1900–1985) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1918 "," 1945 "," 541; 540; 542; 546; 292; 290 ","  "," 1 "," baci.1002-IMAGE.1.jpg " 
"o:baci.1003"," "," Serbian cinema-owner and film producer Djordje Djoko Bogdanović (1860–1914) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," "," 1914 "," 546; 540 ","  "," 1 "," baci.1003-IMAGE.1.jpg " 
"o:baci.1004"," "," Serbian cinema owner and film producer Svetozar Botorić (1857–1916) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," "," 1914 "," 546; 540 ","  "," 1 "," baci.1004-IMAGE.1.jpg " 
"o:baci.1005"," "," Advertisement for Svetozar Botorić as Pathé’s representative for Serbia and Bulgaria ","Newspaper advertisement","Not specified","Jugoslovenska kinoteka, Belgrade"," 1911 "," "," "," 546; 540; 447; 440 ","  "," 1 "," baci.1005-IMAGE.1.jpg " 
"o:baci.1006"," "," Croatian film director Rajko Grlić (b. 1947) and Serbian film director Srdjan Karanović (b. 1945) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1975 "," 1985 "," 546; 540 ","  "," 1 "," baci.1006-IMAGE.1.jpg " 
"o:baci.1007"," "," Slovene film director Boštjan Hladnik (1929–2006) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1965 "," 1975 "," 546; 540 ","  "," 1 "," baci.1007-IMAGE.1.jpg " 
"o:baci.1008"," "," Bosnian film director Emir Kusturica (b. 1954) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1980 "," 1990 "," 546; 540; 547 ","  "," 1 "," baci.1008-IMAGE.1.jpg " 
"o:baci.1009"," "," Serbian film director Dušan Makavejev (b. 1932) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1960 "," 1970 "," 546; 540 ","  "," 1 "," baci.1009-IMAGE.1.jpg " 
"o:baci.1010"," "," Serbian film director Goran Marković (b. 1946) ","Photograph","Not specified","Jugoslovenska kinoteka, Belgrade"," "," 1975 "," 1985 "," 546; 540 ","  "," 1 "," baci.1010-IMAGE.1.jpg " 
