"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2" 
"o:polos.1"," A.C. Pozzotto, Gorica; Hermann Seibt, Meissen. "," Gruss aus Bad u. Markt Tüffer Steiermark. Kaiser Franz Josef-Bad, Rückseite. Partie von Markt Tüffer. Schloss-Ruine von Markt Tüffer. Cursalon. Bahn bei Bad Tüffer mit Villa Sann. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," "," 529; 496; 498; 361; 175; 137; 353 ","  "," 2 "," polos_0001_v.jpg "," polos_0001_r.jpg " 
"o:polos.10"," A.C. Pozzotto, Gorica; Hermann Seibt, Meissen. "," Gruß aus Kaiser Franz Josef-Bad Tüffer-Steiermark. Speisesaal. Bad Tüffer von der Rückseite. Veranda. Besitzer: Theodor Junkel. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1905","1098"," 529; 551; 528; 137; 353 ","  "," 2 "," polos_0010_v.jpg "," polos_0010_r.jpg " 
"o:polos.100","  "," Podsreda - Hörberg. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1906"," "," 341; 346 ","  "," 2 "," polos_0100_v.jpg "," polos_0100_r.jpg " 
"o:polos.1000","  "," Pozdrav iz Kapele. Gruss aus Kapellen. ORTSCHAF KAPELLEN. VILLA PROBST. GASTHAUS HORVAT. WEINGARTHAUS HORVAT. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 265; 341; 361; 369; 472 ","  "," 2 "," polos_1000_v.jpg "," polos_1000_r.jpg " 
"o:polos.1001"," Atelier Weiss "," Kokarje. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1913"," "," 361; 133; 240 ","  "," 2 "," polos_1001_v.jpg "," polos_1001_r.jpg " 
"o:polos.1002"," C. Rabitsch, Maribor "," Gruss aus LEITERSBERG bei MARBURG A/D. MARBURG. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1899"," "," 472; 361; 240; 551 ","  "," 2 "," polos_1002_v.jpg "," polos_1002_r.jpg " 
"o:polos.1003"," Senkowitsch, Maribor "," Gruß aus Leitersberg bei Marburg a. d. Drau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1902"," "," 361; 133 ","  "," 2 "," polos_1003_v.jpg "," polos_1003_r.jpg " 
"o:polos.1004"," Heinrich Krapek, Maribor "," Gastwirtschaft zum Schweizerhaus in Kartschowin bei Marburg a. d. Drau. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1906"," "," 369; 240; 552; 265 ","  "," 2 "," polos_1004_v.jpg "," polos_1004_r.jpg " 
"o:polos.1005"," Heinrich Krapek, Maribor "," Schweizerhaus Krüger vorm. Wolfzettel bei Marburg. Guten Morgen! "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1898"," "," 136; 240; 552; 265 ","  "," 2 "," polos_1005_v.jpg "," polos_1005_r.jpg " 
"o:polos.1006"," Alois Gottlich, Križevci pri Ljutomeru "," Pozdrav iz Križovec, (Štajersko). "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  ","1915","1918"," 472; 346 ","  "," 2 "," polos_1006_v.jpg "," polos_1006_r.jpg " 
"o:polos.1007"," Roman Röck, Ljutomer "," Križovci, Štajersko. Kreuzdorf, Steiermark. "," Postcard ","9x14"," Creative Commons BY-NC-SA 4.0 ","  "," "," "," 346; 361 ","  "," 2 "," polos_1007_v.jpg "," polos_1007_r.jpg " 
