"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1" 
"o:siba.1010"," Weinberg, Jean "," The Firefighters of Ankara ","Postcard","Not specified","VEKAM Vehbi Koç and Ankara Research Centre"," 1926 "," "," "," 344; 340; 640 ","  "," 1 "," siba.1010.jpg " 
"o:siba.1023"," unknown "," A coffeehouse in Ankara ","Photograph","Not specified","VEKAM Vehbi Koç and Ankara Research Centre"," "," 1915 "," 1940 "," 365; 360; 517; 510; 275; 270; 272 ","  "," 1 "," siba.1023.jpg " 
"o:siba.1025"," unknown "," Horse market ","Photographic negative","Not specified","VEKAM Vehbi Koç and Ankara Research Centre"," 1925 "," "," "," 365; 360; 432; 430; 571; 570 ","  "," 1 "," siba.1025.jpg " 
"o:siba.1055"," Görgüç, Namık "," Military funeral procession in Süleyman Seba Street ","Photograph","Not specified","Cengiz Kahraman"," "," 1930 "," 1935 "," 764; 760; 769; 788; 780; 714; 710; 362; 360; 341; 340 ","  "," 1 "," siba.1055.jpg " 
"o:siba.1056"," unknown "," Red Cross headquarters in Süleyman Seba Street ","Photograph","Not specified","Cengiz Kahraman"," "," 1928 "," 1939 "," 657; 650; 741; 740; 850; 527; 520; 340; 493; 490 ","  "," 1 "," siba.1056.jpg " 
"o:siba.1057"," Görgüç, Namık "," Portrait of a young girl in Süleyman Seba Street ","Photograph","Not specified","Cengiz Kahraman"," "," 1930 "," 1939 "," 850; 292; 290; 890; 516; 510 ","  "," 1 "," siba.1057.jpg " 
"o:siba.1058"," Görgüç, Namık "," Lady and girl walking on the Akıntıburnu quay ","Photograph","Not specified","Cengiz Kahraman"," "," 1930 "," 1939 "," 594; 590; 501; 500; 349; 340; 291; 290; 363; 360; 447; 440 ","  "," 1 "," siba.1058.jpg " 
"o:siba.1059"," Görgüç, Namık "," Sailing boats on the Bosphorus near Akıntıburnu ","Photograph","Not specified","Cengiz Kahraman"," "," 1925 "," "," 501; 500; 480; 349; 340 ","  "," 1 "," siba.1059.jpg " 
"o:siba.1060"," Görgüç, Namık "," Sailing boat landing at Akıntıburnu ","Photograph","Not specified","Cengiz Kahraman"," "," 1925 "," "," 501; 500; 480; 349; 340 ","  "," 1 "," siba.1060.jpg " 
"o:siba.1065"," Görgüç, Namık "," Street scene in Aksaray ","Photograph","Not specified","Cengiz Kahraman"," 1927-01-12 "," "," "," 363; 360; 760 ","  "," 1 "," siba.1065.jpg " 
