"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18", "Image 19" 
"o:vase.1"," Karastoyanov, Dimitar Anastasov "," Rest before the battle. ","Postcard","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1912 "," 1913 "," 410; 560; 570; 700; 710; 720 ","  "," 2 "," vase.1-IMAGE.1.jpg "," vase.1-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1001"," Jovanović, Anastas "," Studio portrait of Katarina Hadži Popović ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," 1862 "," "," "," 186; 180; 215; 210; 292; 290; 300; 551; 550; 554; 560; 593; 590; 885; 880; 890 ","  "," 2 "," vase.1001-IMAGE.1.jpg "," vase.1001-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1002"," Jovanović, Anastas "," Young woman in town attire ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1860 "," 1890 "," 290; 300; 560; 885; 880; 890 ","  "," 1 "," vase.1002-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1003"," Jovanović, Anastas "," Studio portrait of Princess Julija Obrenović ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1855 "," 1860 "," 290; 300; 551; 550; 554; 560; 640; 890 ","  "," 1 "," vase.1003-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1004"," Jovanović, Anastas "," Studio portrait of Marija Jovanović ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1860 "," 215; 210; 290; 438; 430; 551; 550; 554; 560; 590; 888; 880 ","  "," 1 "," vase.1004-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1005"," Jovanović, Anastas "," Princess Julija Obrenović ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," 1855 "," 1860 "," 290; 300; 551; 550; 554; 560; 640; 890 ","  "," 1 "," vase.1005-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1006"," Jovanović, Anastas "," Head shot of woman with elegant headgear ","Photograph","Mignon/ Pokorny","Creative Commons [CC BY-NC-ND 3.0]"," "," 1882 "," 1910 "," 300; 560; 885; 880; 890 ","  "," 1 "," vase.1006-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1007"," Stojanović/Karastoyanov, Anastas Nikolov "," Young woman in town attire and 'libade' ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1880 "," 186; 180; 292; 290; 300; 554; 550; 560; 885; 880; 890 ","  "," 2 "," vase.1007-IMAGE.1.jpg "," vase.1007-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1008"," Stojanović/Karastoyanov, Anastas Nikolov "," Studio portrait of a woman in dark elegant dress ","Photograph","Carte de visite","Creative Commons [CC BY-NC-ND 3.0]"," "," "," 1880 "," 290; 300; 554; 550; 560; 562; 880; 890 ","  "," 2 "," vase.1008-IMAGE.1.jpg "," vase.1008-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.1009"," Stojanović/Karastoyanov, Anastas Nikolov "," Studio portrait of a man and two children ","Photograph","Cabinet","Creative Commons [CC BY-NC-ND 3.0]"," "," 1860 "," 1870 "," 290; 300; 554; 550; 560; 570; 590; 850; 890 ","  "," 1 "," vase.1009-IMAGE.1.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
"o:vase.101"," Karastoyanov, Ivan Anastasov "," Studio portrait of the Boyadzhiev family ","Photograph","Not specified","Creative Commons [CC BY-NC-ND 3.0]"," "," 1910 "," 1915 "," 156; 150; 290; 551; 550; 560; 565; 590; 600; 700; 714; 710 ","  "," 2 "," vase.101-IMAGE.1.jpg "," vase.101-IMAGE.2.jpg ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  " 
