"PID", "Creator", "Object title", "Type", "Format", "Licence/Copyright", "when", "notBefore", "notAfter", "OCM", "Internal keywords", "Image number", "Image 1", "Image 2", "Image 3", "Image 4", "Image 5", "Image 6", "Image 7", "Image 8", "Image 9", "Image 10", "Image 11", "Image 12", "Image 13", "Image 14", "Image 15", "Image 16", "Image 17", "Image 18" 
"o:vismig.m.2001.1","Ritopečki, Jovan"," Gruppe von Männern am Gang "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S001; S003; S011; S018 "," 2 "," 2001_img27.jpg "," 2001_img28.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2001.2","Ritopečki, Jovan"," Männer vor der Tür der österreichischen Anwerbekommission "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S001; S003; S011; S018 "," 2 "," 2001_img29.jpg "," 2001_img30.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2001.3","Ritopečki, Jovan"," Wartende am Gang bei der französischen Anwerbekommission "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S001; S003; S011; S018 "," 2 "," 2001_img31.jpg "," 2001_img32.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2001.4","Ritopečki, Jovan"," Männer warten in einem Zimmer "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S001; S003; S011; S018 "," 2 "," 2001_img33.jpg "," 2001_img34.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2001.5","Ritopečki, Jovan"," Männer beim Kartenspiel "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S018; S035 "," 4 "," 2001_img35.jpg "," 2001_img36.jpg "," 2001_img37.jpg "," 2001_img38.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2001.6","Ritopečki, Jovan"," Frauen bei der Büroarbeit "," Photographic negative ","  ",NL Jovan Ritopečki"," 1970 "," "," ","  "," S001; S003; S009; S011 "," 6 "," 2001_img39.jpg "," 2001_img40.jpg "," 2001_img41.jpg "," 2001_img42.jpg "," 2001_img43.jpg "," 2001_img44.jpg "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2002.1","Ritopečki, Jovan"," Kind beim Kochen "," Photographic negative ","  ",NL Jovan Ritopečki"," 1973 "," "," ","  "," S013; S025; S037 "," 1 "," 2002_img1.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2002.2","Ritopečki, Jovan"," Füttern eines Kleinkindes "," Photographic negative ","  ",NL Jovan Ritopečki"," 1973 "," "," ","  "," S013; S025 "," 8 "," 2002_img2.jpg "," 2002_img3.jpg "," 2002_img4.jpg "," 2002_img5.jpg "," 2002_img6.jpg "," 2002_img7.jpg "," 2002_img8.jpg "," 2002_img9.jpg "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2002.3","Ritopečki, Jovan"," Kind bei Hausarbeit "," Photographic negative ","  ",NL Jovan Ritopečki"," 1973 "," "," ","  "," S013; S025; S037 "," 4 "," 2002_img10.jpg "," 2002_img11.jpg "," 2002_img12.jpg "," 2002_img13.jpg "," "," "," "," "," "," "," "," "," "," "," "," "," "," " 
"o:vismig.m.2002.4","Ritopečki, Jovan"," Sechs Kinder beim Fernsehen "," Photographic negative ","  ",NL Jovan Ritopečki"," 1973 "," "," ","  "," S013; S017; S025; S037 "," 8 "," 2002_img14.jpg "," 2002_img15.jpg "," 2002_img16.jpg "," 2002_img17.jpg "," 2002_img18.jpg "," 2002_img19.jpg "," 2002_img20.jpg "," 2002_img21.jpg "," "," "," "," "," "," "," "," "," "," " 
